 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 80003, 00:01:20
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 67094, 00:01:07
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 73310, 00:01:13
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 98710, 00:01:38
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 35299, 00:00:35
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 13675, 00:00:13
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 20247, 00:00:20
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 5426, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 27072, 00:00:27
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 5085, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 12761, 00:00:12
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.05001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 5705, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 9062, 00:00:09
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 15150, 00:00:15
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 10213, 00:00:10
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 14601, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 14613, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 10712, 00:00:10
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 8553, 00:00:08
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 6499, 00:00:06
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 12471, 00:00:12
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 9343, 00:00:09
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 7820, 00:00:07
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.02501_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 5926, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 2294, 00:00:02
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 3985, 00:00:03
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 2348, 00:00:02
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 2256, 00:00:02
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 0, 00:00:00
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 3265, 00:00:03
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 5332, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 6805, 00:00:06
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_1_Delta_0.01001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 4044, 00:00:04
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 280306, 00:04:40
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 252640, 00:04:12
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 246107, 00:04:06
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 234414, 00:03:54
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 11172, 00:00:11
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 6247, 00:00:06
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 22297, 00:00:22
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 4412, 00:00:04
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 14638, 00:00:14
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 5276, 00:00:05
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 15585, 00:00:15
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.10001_runnerUp_4, Type: AITOPO, AItime 00:00:00,, UNSAT, 10323, 00:00:10
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_1, Type: AIOFF, AItime 00:00:00,, UNSAT, 96507, 00:01:36
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_2, Type: AIOFF, AItime 00:00:00,, UNSAT, 98794, 00:01:38
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_3, Type: AIOFF, AItime 00:00:00,, UNSAT, 155201, 00:02:35
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_4, Type: AIOFF, AItime 00:00:00,, UNSAT, 71786, 00:01:11
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_1, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 10476, 00:00:10
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_2, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 24267, 00:00:24
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_3, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 22444, 00:00:22
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_4, Type: AIBOXSym, AItime 00:00:00,, UNSAT, 13520, 00:00:13
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_1, Type: AITOPO, AItime 00:00:00,, UNSAT, 16354, 00:00:16
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_2, Type: AITOPO, AItime 00:00:00,, UNSAT, 6253, 00:00:06
 ./nnet/ACASXU_run2a_1_1_batch_2000.nnet_Point_2_Delta_0.07501_runnerUp_3, Type: AITOPO, AItime 00:00:00,, UNSAT, 12485, 00:00:12
